letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JacIIB/korr_Glutz_von_Blotzheim_Franz-JacIIB/B_1785-01-29_991171876703005501.xml,SG,transkribiert,0,0,0,1
BW_JacIIB/korr_Glutz_von_Blotzheim_Franz-JacIIB/B_1785-01-29_991171876703005501.xml,FN,transkribiert,0,0,0,1
BW_Hermann/korr_Frey_Johann_Ludwig-Hermann/B_1708-02-16_991170517003505501.xml,SG,kollationiert,1,0,0,1
BW_Hermann/korr_Frey_Johann_Ludwig-Hermann/B_1708-02-16_991170517003505501.xml,FN,kollationiert,1,0,0,0
BW_Hermann/korr_Scheuchzer_Johannes-Hermann/B_1707-06-15_991170430455805501.xml,RG,kollationiert,0,0,0,1
BW_Hermann/korr_Scheuchzer_Johannes-Hermann/B_1718-04-04_991170430332005501.xml,RG,kollationiert,0,0,0,1
BW_Hermann/korr_Scheuchzer_Johannes-Hermann/B_1709-09-07_991170430452405501.xml,RG,kollationiert,0,0,0,1
BW_Hermann/korr_Scheuchzer_Johannes-Hermann/B_1706-12-01_991170430472505501.xml,RG,kollationiert,0,0,0,1
BW_Hermann/korr_Scheuchzer_Johannes-Hermann/B_1707-06-08_991170430456105501.xml,RG,kollationiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1711-05-26_991170516908605501.xml,SG,kollationiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1715-12-23_991170516908405501.xml,SG,kollationiert,1,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1715-12-23_991170516908405501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1719-04-01_991170516907805501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1719-04-01_991170516907805501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1725-03-09_991170516907405501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1725-03-09_991170516907405501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-05-16_991170516908305501.xml,SG,kollationiert,1,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-05-16_991170516908305501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1712-04-23_991170516908505501.xml,SG,kollationiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-07-15_991170516908205501.xml,SG,kollationiert,1,0,1,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-07-15_991170516908205501.xml,CG,kollationiert,1,0,1,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1718-04-29_991170516907905501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1718-04-29_991170516907905501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1717-03-24_991170516908005501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1717-03-24_991170516908005501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1710-01-13_991170516908805501.xml,SG,grundkommentiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1720-04-06_991170516907705501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1720-04-06_991170516907705501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1709-10-12_991170516908905501.xml,SG,grundkommentiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1710-12-27_991170516908705501.xml,SG,kollationiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1723-11-22_991170516907505501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1723-11-22_991170516907505501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1721-04-12_991170516907605501.xml,SG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1721-04-12_991170516907605501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1712-04-01_991170517003805501.xml,SG,kollationiert,0,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-09-04_991170516908105501.xml,SG,kollationiert,1,0,0,1
BW_Hermann/korr_Bernoulli_Nicolaus_I-Hermann/B_1716-09-04_991170516908105501.xml,CG,kollationiert,1,0,0,0
BW_Hermann/korr_Scheuchzer_Johann_Jakob-Hermann/B_1704-01-12_991170430331105501.xml,RG,kollationiert,0,0,0,1
BW_NicIIB/korr_Montmort_Pierre_Remond_de-NicIIB/B_1718-10-28_991170517005405501.xml,SG,kollationiert,1,0,0,1
BW_NicIIB/korr_Montmort_Pierre_Remond_de-NicIIB/B_1718-10-28_991170517005405501.xml,CG,kollationiert,1,0,0,0
BW_NicIIB/korr_Montmort_Pierre_Remond_de-NicIIB/B_1719-05-15_991170517005305501.xml,SG,kollationiert,1,0,0,0
BW_NicIIB/korr_Montmort_Pierre_Remond_de-NicIIB/B_1719-05-15_991170517005305501.xml,CG,kollationiert,1,0,0,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1754-12-22_991170516848805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1763-03-05_991170516721205501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-12-15_991170516849105501.xml,JB,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1753-12-15_991170516849105501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1759-07-23_991170516722105501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-08-13_991170516723005501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1760-05-17_991170516721805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1750-03-14_991170516850505501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1757-11-15_991170516722905501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1774-04-18_991170516720805501.xml,RG,transkribiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1754-05-04_991170516849005501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1754-09-02_991170516848905501.xml,RG,kollationiert,0,0,1,0
BW_JohIIB/korr_Merian_Johann_Bernhard-JohIIB/B_1752-10-03_991170516849605501.xml,RG,transkribiert,0,0,1,0
